categories = ['Arts and Entertainment', 'Business and Consumer Services', 'Community and Society', 'Computers Electronics and Technology', 'eCommerce and Shopping', 'Finance', 'Food and Drink', 'Gambling', 'Games', 'Health', 'Heavy Industry and Engineering', 'Hobbies and Leisure', 'Home and Garden', 'Jobs and Career', 'Law and Government', 'Lifestyle', 'News and Media Publishers', 'Pets and Animals', 'Reference Materials', 'Science and Education', 'Sports', 'Travel and Tourism', 'Vehicles', 'Adult']

Extension,index,load_time,website,key
noscript,29,-19499,www.arstechnica.com,NULL
noscript,30,-19146,www.groove.cm,NULL
noscript,31,-18924,www.careerindia.com,NULL
noscript,32,-18436,www.nicovideo.jp,Arts-and-Entertainment
noscript,33,-17754,www.slate.com,News
noscript,34,-17500,www.sfgate.com,News
noscript,35,-17286,www.wired.com,NULL
noscript,36,-17021,www.pornhub.com,Adult
noscript,37,-16692,www.thetimes.co.uk,News
noscript,38,-16234,www.eventbrite.com,Arts & Entertainment
noscript,39,-16158,www.netscape.com,NULL
noscript,40,-15880,www.marinelink.com,NULL
noscript,41,-14956,www.wps.cn,NULL
noscript,42,-14471,www.chron.com,News
noscript,43,-14135,www.newyorker.com,News
noscript,44,-14060,www.thehill.com,News
noscript,45,-14060,www.wsj.com,Business & Industrial
noscript,46,-14037,www.marketwatch.com,Business & Industrial
noscript,47,-13769,www.rusjev.net,NULL
noscript,48,-13320,www.forbes.com,News
noscript,49,-13224,www.britannica.com,Reference
noscript,50,-12707,www.metsmerizedonline.com,NULL
noscript,51,-12457,www.atlassian.net,Computers & Electronics
noscript,52,-12448,www.zhcommerce.cn,NULL
noscript,53,-11853,www.news.com.au,Sports
noscript,54,-11766,www.bestbuy.com,Computers-Electronics-and-Technology
noscript,55,-11589,www.shein.com,Lifestyle
noscript,56,-11451,www.ign.com,Games
noscript,57,-11074,www.nba.com,Sports
noscript,58,-11026,www.cnabke.com,NULL
noscript,59,-10923,www.digitaltrends.com,Science
noscript,60,-10883,www.scmp.com,News
noscript,61,-10880,www.cnn.com,News
noscript,62,-10708,www.thedailybeast.com,Arts & Entertainment
noscript,63,-10477,www.usatoday.com,News
noscript,64,-10419,www.ndtv.com,News
noscript,65,-10413,www.lifehacker.com,NULL
noscript,66,-10403,www.washingtonpost.com,News
noscript,67,-10308,www.opensea.io,NULL
noscript,68,-10183,www.claroshop.com,NULL
noscript,69,-10172,www.gamespot.com,Games
noscript,70,-10074,www.kuai8.com,NULL
noscript,71,-9957,www.zhipin.com,Jobs-and-Career
noscript,72,-9880,www.twitch.tv,Arts & Entertainment
noscript,73,-9869,www.zcool.com.cn,NULL
noscript,74,-9598,www.china.com,NULL
noscript,75,-9561,www.dytt8.net,NULL
noscript,76,-9529,www.hatena.ne.jp,NULL
noscript,77,-9368,www.dglobe.com,NULL
noscript,78,-9354,www.economist.com,News
noscript,79,-9218,www.theverge.com,Computers & Electronics
noscript,80,-9206,www.amap.com,Reference-Materials
noscript,81,-8921,www.moneycontrol.com,Finance
noscript,82,-8838,www.lww.com,Health
noscript,83,-8712,www.rcfl.com.hk,NULL
noscript,84,-8646,www.listerine.com,NULL
noscript,85,-8573,www.ea.com,Games
noscript,86,-8536,www.moto-net.com,NULL
noscript,87,-8531,www.hilton.com,Travel
noscript,88,-8382,www.nreionline.com,NULL
